#time	unbiased log10 chlorophyll a (log10 mg m-3)	unbiased rmsd (log10 mg m-3)
2020-02-08 00:00:00	-0.399	0.315
2020-02-12 00:00:00	-0.322	0.307
2020-02-19 00:00:00	-0.406	0.298
2020-03-03 00:00:00	-0.313	0.301
2020-03-04 00:00:00	-0.403	0.297
2020-03-05 00:00:00	-0.582	0.266
2020-03-06 00:00:00	-0.418	0.294
2020-03-08 00:00:00	-0.435	0.313
2020-03-09 00:00:00	-0.472	0.308
2020-03-16 00:00:00	-0.601	0.266
2020-03-26 00:00:00	-0.414	0.298
2020-03-27 00:00:00	-0.386	0.286
2020-03-30 00:00:00	-0.102	0.298
2020-04-09 00:00:00	0.020	0.322
2020-04-16 00:00:00	0.149	0.332
2020-04-17 00:00:00	-0.019	0.324
2020-04-18 00:00:00	0.015	0.321
2020-04-19 00:00:00	0.224	0.330
2020-04-20 00:00:00	-0.326	0.292
2020-04-21 00:00:00	-0.331	0.299
2020-04-22 00:00:00	-0.453	0.291
2020-04-23 00:00:00	-0.553	0.275
2020-04-24 00:00:00	-0.481	0.272
2020-04-28 00:00:00	-0.623	0.270
2020-05-03 00:00:00	-0.534	0.258
2020-05-04 00:00:00	-0.576	0.292
2020-05-08 00:00:00	-0.378	0.305
2020-05-10 00:00:00	-0.479	0.262
2020-05-11 00:00:00	-0.286	0.296
2020-05-13 00:00:00	-0.155	0.312
2020-05-25 00:00:00	0.252	0.331
2020-05-26 00:00:00	0.468	0.357
2020-05-31 00:00:00	0.033	0.318
2020-06-01 00:00:00	-0.124	0.318
2020-06-06 00:00:00	-0.114	0.306
2020-06-10 00:00:00	-0.066	0.312
2020-06-12 00:00:00	-0.248	0.312
2020-06-15 00:00:00	-0.353	0.301
2020-06-16 00:00:00	-0.448	0.292
2020-06-22 00:00:00	-0.325	0.297
2020-06-23 00:00:00	-0.261	0.302
2020-06-24 00:00:00	-0.322	0.299
2020-06-25 00:00:00	-0.377	0.298
2020-06-26 00:00:00	-0.373	0.295
2020-06-28 00:00:00	-0.289	0.302
2020-07-02 00:00:00	-0.435	0.289
2020-07-08 00:00:00	-0.279	0.300
2020-07-09 00:00:00	-0.354	0.300
2020-07-10 00:00:00	-0.367	0.301
2020-07-13 00:00:00	-0.310	0.294
2020-07-17 00:00:00	-0.401	0.298
2020-07-18 00:00:00	-0.451	0.289
2020-07-20 00:00:00	-0.426	0.296
2020-07-21 00:00:00	-0.505	0.282
2020-07-22 00:00:00	-0.486	0.290
2020-07-24 00:00:00	-0.456	0.292
2020-07-26 00:00:00	-0.407	0.296
2020-07-31 00:00:00	-0.251	0.307
2020-08-03 00:00:00	-0.305	0.294
2020-08-04 00:00:00	-0.322	0.295
2020-08-07 00:00:00	-0.339	0.308
2020-08-08 00:00:00	-0.382	0.298
2020-08-09 00:00:00	-0.459	0.292
2020-08-12 00:00:00	-0.501	0.288
2020-08-15 00:00:00	-0.515	0.290
2020-08-24 00:00:00	-0.460	0.295
2020-08-25 00:00:00	-0.483	0.292
2020-08-27 00:00:00	-0.615	0.293
2020-08-31 00:00:00	-0.623	0.293
2020-09-03 00:00:00	-0.500	0.294
2020-09-09 00:00:00	-0.515	0.279
2020-09-14 00:00:00	-0.288	0.296
2020-09-16 00:00:00	-0.129	0.318
2020-09-27 00:00:00	-0.102	0.320
2020-09-30 00:00:00	-0.092	0.325
2020-10-05 00:00:00	0.075	0.377
2020-10-13 00:00:00	0.021	0.326
2020-10-29 00:00:00	-0.154	0.319
2021-02-20 00:00:00	-0.446	0.285
2021-02-27 00:00:00	-0.376	0.294
2021-02-28 00:00:00	-0.485	0.288
2021-03-07 00:00:00	-0.747	0.259
2021-03-08 00:00:00	-0.599	0.275
2021-03-10 00:00:00	-0.503	0.302
2021-03-13 00:00:00	-0.530	0.285
2021-03-14 00:00:00	-0.557	0.281
2021-03-15 00:00:00	-0.519	0.283
2021-03-24 00:00:00	-0.530	0.277
2021-03-25 00:00:00	-0.490	0.287
2021-03-26 00:00:00	-0.595	0.257
2021-03-27 00:00:00	-0.396	0.294
2021-03-28 00:00:00	-0.399	0.292
2021-03-29 00:00:00	-0.459	0.296
2021-04-08 00:00:00	-0.049	0.321
2021-04-09 00:00:00	-0.154	0.318
2021-04-10 00:00:00	-0.242	0.318
2021-04-11 00:00:00	-0.306	0.294
2021-04-12 00:00:00	-0.097	0.321
2021-04-13 00:00:00	-0.345	0.298
2021-04-14 00:00:00	-0.431	0.276
2021-04-17 00:00:00	-0.430	0.292
2021-04-18 00:00:00	-0.413	0.294
2021-04-19 00:00:00	-0.322	0.301
2021-04-20 00:00:00	-0.275	0.310
2021-04-21 00:00:00	-0.387	0.294
2021-04-22 00:00:00	-0.333	0.309
2021-04-23 00:00:00	-0.294	0.305
2021-04-25 00:00:00	-0.147	0.305
2021-04-29 00:00:00	-0.004	0.315
2021-04-30 00:00:00	0.285	0.350
2021-05-02 00:00:00	0.059	0.319
2021-05-03 00:00:00	0.266	0.331
2021-05-06 00:00:00	0.057	0.324
2021-05-07 00:00:00	0.339	0.358
2021-05-11 00:00:00	0.113	0.325
2021-05-16 00:00:00	-0.488	0.280
2021-05-17 00:00:00	-0.290	0.299
2021-05-23 00:00:00	0.004	0.321
2021-05-26 00:00:00	-0.345	0.292
2021-05-28 00:00:00	-0.249	0.311
2021-05-30 00:00:00	-0.299	0.298
2021-06-01 00:00:00	-0.343	0.304
2021-06-02 00:00:00	-0.333	0.303
2021-06-03 00:00:00	-0.361	0.298
2021-06-04 00:00:00	-0.374	0.297
2021-06-06 00:00:00	-0.387	0.297
2021-06-09 00:00:00	-0.393	0.295
2021-06-12 00:00:00	-0.331	0.294
2021-06-14 00:00:00	-0.340	0.318
2021-06-18 00:00:00	-0.316	0.295
2021-06-19 00:00:00	-0.365	0.295
2021-06-22 00:00:00	-0.470	0.291
2021-06-30 00:00:00	-0.419	0.295
2021-07-03 00:00:00	-0.486	0.286
2021-07-07 00:00:00	-0.418	0.292
2021-07-12 00:00:00	-0.481	0.284
2021-07-15 00:00:00	-0.440	0.297
2021-07-20 00:00:00	-0.645	0.270
2021-07-21 00:00:00	-0.534	0.282
2021-07-25 00:00:00	-0.515	0.290
2021-07-29 00:00:00	-0.588	0.278
2021-07-31 00:00:00	-0.662	0.269
2021-08-03 00:00:00	-0.594	0.279
2021-08-04 00:00:00	-0.686	0.263
2021-08-13 00:00:00	-0.636	0.311
2021-08-14 00:00:00	-0.572	0.302
2021-08-17 00:00:00	-0.534	0.286
2021-08-21 00:00:00	-0.615	0.317
2021-08-27 00:00:00	-0.565	0.274
2021-09-03 00:00:00	-0.466	0.289
2021-09-25 00:00:00	-0.405	0.290
2021-09-28 00:00:00	-0.391	0.291
2021-09-30 00:00:00	-0.214	0.314
2021-10-04 00:00:00	-0.195	0.309
2021-10-06 00:00:00	-0.154	0.311
2021-10-25 00:00:00	-0.215	0.310
2021-11-01 00:00:00	-0.342	0.295
2022-02-08 00:00:00	-0.281	0.302
2022-02-17 00:00:00	-0.486	0.283
2022-02-22 00:00:00	-0.358	0.296
2022-02-23 00:00:00	-0.214	0.308
2022-03-01 00:00:00	-0.433	0.287
2022-03-02 00:00:00	-0.454	0.287
2022-03-03 00:00:00	-0.447	0.296
2022-03-06 00:00:00	-0.563	0.284
2022-03-15 00:00:00	-0.506	0.283
2022-03-17 00:00:00	-0.479	0.285
2022-03-18 00:00:00	-0.458	0.288
2022-03-19 00:00:00	-0.492	0.280
2022-03-20 00:00:00	-0.475	0.284
2022-03-22 00:00:00	-0.371	0.298
2022-03-23 00:00:00	-0.470	0.280
2022-03-24 00:00:00	-0.415	0.291
2022-03-27 00:00:00	-0.323	0.292
2022-03-29 00:00:00	-0.168	0.310
2022-03-30 00:00:00	-0.344	0.286
2022-03-31 00:00:00	-0.248	0.301
2022-04-02 00:00:00	-0.013	0.316
2022-04-04 00:00:00	-0.250	0.296
2022-04-07 00:00:00	-0.108	0.315
2022-04-08 00:00:00	0.054	0.316
2022-04-10 00:00:00	-0.026	0.322
2022-04-11 00:00:00	-0.433	0.282
2022-04-14 00:00:00	-0.231	0.308
2022-04-15 00:00:00	-0.553	0.259
2022-04-17 00:00:00	-0.601	0.274
2022-04-18 00:00:00	-0.584	0.283
2022-04-19 00:00:00	-0.765	0.247
2022-04-20 00:00:00	-0.780	0.251
2022-04-21 00:00:00	-0.681	0.269
2022-04-22 00:00:00	-0.615	0.263
2022-04-23 00:00:00	-0.469	0.279
2022-04-24 00:00:00	-0.200	0.307
2022-05-07 00:00:00	0.025	0.317
2022-05-08 00:00:00	-0.105	0.313
2022-05-10 00:00:00	-0.393	0.294
2022-05-11 00:00:00	-0.358	0.300
2022-05-12 00:00:00	-0.533	0.261
2022-05-16 00:00:00	-0.508	0.276
2022-05-18 00:00:00	-0.479	0.286
2022-05-19 00:00:00	-0.428	0.289
2022-05-20 00:00:00	-0.477	0.270
2022-05-25 00:00:00	-0.143	0.310
2022-05-26 00:00:00	-0.175	0.305
2022-05-27 00:00:00	-0.372	0.292
2022-05-31 00:00:00	-0.249	0.299
2022-06-04 00:00:00	-0.540	0.285
2022-06-05 00:00:00	-0.448	0.294
2022-06-06 00:00:00	-0.559	0.275
2022-06-10 00:00:00	-0.434	0.285
2022-06-11 00:00:00	-0.386	0.293
2022-06-16 00:00:00	-0.285	0.297
2022-06-18 00:00:00	-0.255	0.298
2022-06-19 00:00:00	-0.218	0.308
2022-06-23 00:00:00	-0.357	0.289
2022-06-25 00:00:00	-0.377	0.288
2022-06-27 00:00:00	-0.356	0.289
2022-06-28 00:00:00	-0.348	0.290
2022-07-03 00:00:00	-0.083	0.321
2022-07-15 00:00:00	-0.321	0.291
2022-07-16 00:00:00	-0.320	0.291
2022-07-19 00:00:00	-0.277	0.306
2022-07-28 00:00:00	-0.282	0.296
2022-08-01 00:00:00	-0.307	0.292
2022-08-03 00:00:00	-0.258	0.300
2022-08-05 00:00:00	-0.284	0.294
2022-08-06 00:00:00	-0.277	0.297
2022-08-08 00:00:00	-0.355	0.296
2022-08-10 00:00:00	-0.394	0.287
2022-08-12 00:00:00	-0.501	0.281
2022-08-14 00:00:00	-0.348	0.295
2022-08-15 00:00:00	-0.395	0.287
2022-08-19 00:00:00	-0.252	0.300
2022-08-27 00:00:00	-0.312	0.300
2022-09-02 00:00:00	-0.280	0.294
2022-09-03 00:00:00	-0.292	0.297
2022-09-09 00:00:00	-0.131	0.315
2022-09-10 00:00:00	-0.295	0.302
2022-09-11 00:00:00	-0.303	0.305
2022-09-12 00:00:00	-0.302	0.305
2022-09-18 00:00:00	-0.215	0.314
2022-09-19 00:00:00	-0.195	0.313
2022-09-23 00:00:00	-0.162	0.315
2022-09-24 00:00:00	-0.272	0.295
2022-09-27 00:00:00	-0.170	0.315
2022-09-28 00:00:00	-0.110	0.316
2022-09-29 00:00:00	-0.108	0.316
2022-10-02 00:00:00	-0.252	0.302
2022-10-06 00:00:00	-0.002	0.316
2022-10-07 00:00:00	-0.172	0.320
2022-10-13 00:00:00	-0.225	0.318
2022-10-18 00:00:00	-0.081	0.354
2022-10-29 00:00:00	-0.294	0.295
2022-10-30 00:00:00	0.342	0.387
