#time	SST (degrees Celsius)	standard error (degrees Celsius)
2020-01-01 12:00:00	7.724	0.394
2020-01-02 12:00:00	7.827	0.190
2020-01-03 12:00:00	7.912	0.190
2020-01-04 12:00:00	7.936	0.190
2020-01-05 12:00:00	8.164	0.210
2020-01-06 12:00:00	8.213	0.190
2020-01-07 12:00:00	8.045	0.190
2020-01-08 12:00:00	8.000	0.190
2020-01-09 12:00:00	7.893	0.190
2020-01-10 12:00:00	7.833	0.196
2020-01-11 12:00:00	8.047	0.200
2020-01-12 12:00:00	8.234	0.201
2020-01-13 12:00:00	8.036	0.214
2020-01-14 12:00:00	7.898	0.190
2020-01-15 12:00:00	7.880	0.190
2020-01-16 12:00:00	7.855	0.200
2020-01-17 12:00:00	7.830	0.190
2020-01-18 12:00:00	7.874	0.190
2020-01-19 12:00:00	7.869	0.200
2020-01-20 12:00:00	7.755	0.190
2020-01-21 12:00:00	7.599	0.190
2020-01-22 12:00:00	7.599	0.190
2020-01-23 12:00:00	7.751	0.200
2020-01-24 12:00:00	8.097	0.200
2020-01-25 12:00:00	8.092	0.224
2020-01-26 12:00:00	8.101	0.195
2020-01-27 12:00:00	8.055	0.199
2020-01-28 12:00:00	8.156	0.190
2020-01-29 12:00:00	8.143	0.200
2020-01-30 12:00:00	8.138	0.210
2020-01-31 12:00:00	7.966	0.206
2020-02-01 12:00:00	7.900	0.190
2020-02-02 12:00:00	7.881	0.190
2020-02-03 12:00:00	7.880	0.190
2020-02-04 12:00:00	7.890	0.194
2020-02-05 12:00:00	7.920	0.190
2020-02-06 12:00:00	7.855	0.204
2020-02-07 12:00:00	7.650	0.220
2020-02-08 12:00:00	7.665	0.190
2020-02-09 12:00:00	7.655	0.190
2020-02-10 12:00:00	7.555	0.414
2020-02-11 12:00:00	7.195	0.190
2020-02-12 12:00:00	7.313	0.200
2020-02-13 12:00:00	7.442	0.190
2020-02-14 12:00:00	7.570	0.220
2020-02-15 12:00:00	7.328	0.195
2020-02-16 12:00:00	7.333	0.190
2020-02-17 12:00:00	7.308	0.190
2020-02-18 12:00:00	7.392	0.200
2020-02-19 12:00:00	7.453	0.200
2020-02-20 12:00:00	7.419	0.190
2020-02-21 12:00:00	7.367	0.210
2020-02-22 12:00:00	7.397	0.190
2020-02-23 12:00:00	7.462	0.200
2020-02-24 12:00:00	7.488	0.190
2020-02-25 12:00:00	7.205	0.319
2020-02-26 12:00:00	7.267	0.206
2020-02-27 12:00:00	7.321	0.200
2020-02-28 12:00:00	7.321	0.190
2020-02-29 12:00:00	7.407	0.190
2020-03-01 12:00:00	7.311	0.220
2020-03-02 12:00:00	7.264	0.220
2020-03-03 12:00:00	7.295	0.230
2020-03-04 12:00:00	7.286	0.220
2020-03-05 12:00:00	7.310	0.240
2020-03-06 12:00:00	7.373	0.220
2020-03-07 12:00:00	7.368	0.230
2020-03-08 12:00:00	7.429	0.220
2020-03-09 12:00:00	7.415	0.220
2020-03-10 12:00:00	7.306	0.240
2020-03-11 12:00:00	7.285	0.246
2020-03-12 12:00:00	7.299	0.220
2020-03-13 12:00:00	7.195	0.304
2020-03-14 12:00:00	7.119	0.270
2020-03-15 12:00:00	7.093	0.220
2020-03-16 12:00:00	7.151	0.220
2020-03-17 12:00:00	7.195	0.234
2020-03-18 12:00:00	7.226	0.220
2020-03-19 12:00:00	7.188	0.220
2020-03-20 12:00:00	7.228	0.220
2020-03-21 12:00:00	7.272	0.234
2020-03-22 12:00:00	7.203	0.404
2020-03-23 12:00:00	7.167	0.650
2020-03-24 12:00:00	7.034	0.585
2020-03-25 12:00:00	7.443	0.220
2020-03-26 12:00:00	7.449	0.220
2020-03-27 12:00:00	7.450	0.220
2020-03-28 12:00:00	7.421	0.220
2020-03-29 12:00:00	7.592	0.230
2020-03-30 12:00:00	7.586	0.230
2020-03-31 12:00:00	7.551	0.240
2020-04-01 12:00:00	7.445	0.240
2020-04-02 12:00:00	7.636	0.240
2020-04-03 12:00:00	7.722	0.246
2020-04-04 12:00:00	7.743	0.220
2020-04-05 12:00:00	7.819	0.230
2020-04-06 12:00:00	7.773	0.230
2020-04-07 12:00:00	7.791	0.220
2020-04-08 12:00:00	7.828	0.230
2020-04-09 12:00:00	7.790	0.230
2020-04-10 12:00:00	7.522	0.256
2020-04-11 12:00:00	7.486	0.355
2020-04-12 12:00:00	7.476	0.345
2020-04-13 12:00:00	7.460	0.420
2020-04-14 12:00:00	7.656	0.220
2020-04-15 12:00:00	7.842	0.220
2020-04-16 12:00:00	7.969	0.220
2020-04-17 12:00:00	7.996	0.230
2020-04-18 12:00:00	8.012	0.230
2020-04-19 12:00:00	8.262	0.230
2020-04-20 12:00:00	8.505	0.230
2020-04-21 12:00:00	8.618	0.220
2020-04-22 12:00:00	8.738	0.230
2020-04-23 12:00:00	8.966	0.230
2020-04-24 12:00:00	9.082	0.220
2020-04-25 12:00:00	8.714	0.294
2020-04-26 12:00:00	8.430	0.244
2020-04-27 12:00:00	8.474	0.240
2020-04-28 12:00:00	8.499	0.230
2020-04-29 12:00:00	8.508	0.224
2020-04-30 12:00:00	8.381	0.220
2020-05-01 12:00:00	8.254	0.244
2020-05-02 12:00:00	8.239	0.226
2020-05-03 12:00:00	8.264	0.220
